graph_pos,corr_comb,spd-wspd,spd-eucd,wspd-eucd
"((220, 220), (220, 330), (440, 440), (440, 770), (550, 660), (550, 770), (660, 660), (770, 550))",0.2500274352722323,0.729298618408648,0.01748106031226999,0.0033026270957789805
"((220, 220), (330, 110), (330, 330), (330, 660), (440, 330), (440, 660), (550, 660), (770, 550))",0.25396894957695443,0.7595625467788327,0.00028385298319761996,0.0020604489688328116
"((220, 220), (330, 220), (330, 330), (330, 660), (440, 220), (440, 660), (660, 660), (770, 660))",0.2540548878297912,0.7540327894249487,0.004551063084501462,0.0035808109799233406
"((220, 220), (330, 220), (330, 330), (330, 660), (440, 330), (440, 660), (550, 660), (770, 660))",0.2528358235377608,0.7350833514374135,0.02273644960573151,0.0006876695701373185
"((220, 220), (330, 220), (330, 330), (330, 660), (550, 330), (550, 660), (660, 660), (770, 660))",0.25397611650624347,0.7514971471576715,0.003834128905580746,0.00659707345547824
"((220, 220), (330, 220), (330, 330), (440, 660), (550, 440), (550, 660), (660, 660), (770, 660))",0.2556542797548472,0.720239008242081,0.010802798173408911,0.035921032849051744
"((220, 330), (330, 220), (330, 440), (330, 770), (440, 440), (440, 770), (550, 770), (770, 660))",0.25396894957695443,0.7595625467788327,0.00028385298319761996,0.0020604489688328116
"((220, 550), (220, 770), (330, 440), (440, 110), (550, 440), (660, 220), (770, 220), (770, 330))",0.25295717325262845,0.7453106604837051,0.007101218259978655,0.006459641014201626
"((220, 660), (220, 770), (330, 550), (440, 220), (440, 550), (550, 110), (660, 110), (770, 220))",0.2538092170263797,0.7549312232993641,0.00127733842438929,0.0052190893553857205
"((330, 110), (330, 220), (440, 330), (440, 660), (550, 550), (550, 660), (660, 550), (770, 550))",0.254997309248674,0.7441788295642158,0.005402892629961731,0.015410205551844322
"((330, 220), (330, 330), (440, 440), (440, 770), (550, 660), (550, 770), (660, 660), (770, 660))",0.254997309248674,0.7441788295642158,0.005402892629961731,0.015410205551844322
"((440, 660), (440, 770), (550, 440), (550, 550), (550, 660), (660, 440), (770, 330), (770, 440))",0.3188766053402123,0.8504709043864824,0.05647421478975671,0.049684696844397754
"((440, 660), (440, 770), (550, 440), (550, 550), (550, 660), (660, 440), (770, 330), (770, 550))",0.3444835989409341,0.9158699652763883,0.08958968519378173,0.027991146352632317
"((440, 660), (440, 770), (550, 440), (550, 550), (550, 660), (660, 550), (770, 220), (770, 550))",0.4962917053122416,0.9677154361633529,0.2992803395033902,0.22187934026998166
"((440, 660), (440, 770), (550, 440), (550, 550), (550, 660), (660, 550), (770, 330), (770, 550))",0.4101672083676251,0.9457503069708335,0.18995355676311249,0.09479776136892919
"((440, 660), (440, 770), (550, 440), (550, 550), (550, 660), (660, 550), (770, 440), (770, 550))",0.3182563689045351,0.8480897694356831,0.04974814848712315,0.0569311887907991
"((440, 660), (440, 770), (550, 440), (550, 550), (550, 770), (660, 440), (770, 220), (770, 440))",0.3441705598316589,0.9363337316681669,0.00441495472201855,0.09176299310479127
"((440, 660), (440, 770), (550, 440), (550, 550), (550, 770), (660, 440), (770, 220), (770, 550))",0.35445893699061487,0.9538723091193533,0.02717920301401372,0.08232529883847763
"((440, 660), (440, 770), (550, 440), (550, 550), (550, 770), (660, 440), (770, 220), (770, 660))",0.38008284340971327,0.9474957233677709,0.051191982951398624,0.14156082390997043
"((440, 660), (440, 770), (550, 440), (550, 550), (550, 770), (660, 440), (770, 330), (770, 440))",0.41086052135737744,0.8421975183359934,0.12912128158164074,0.2612627641544981
"((440, 660), (440, 770), (550, 440), (550, 550), (550, 770), (660, 440), (770, 330), (770, 550))",0.42871847415373404,0.9186379856002246,0.11440919659330075,0.2531082402676767
"((440, 660), (440, 770), (550, 440), (550, 550), (550, 770), (660, 440), (770, 330), (770, 660))",0.4146369462805955,0.9235439943895576,0.07080646933778019,0.24956037511444876
"((440, 660), (440, 770), (550, 440), (550, 550), (550, 770), (660, 550), (770, 220), (770, 550))",0.3978123967756126,0.9679805273712189,0.15206541356249823,0.07339124939312047
"((440, 660), (440, 770), (550, 440), (550, 550), (550, 770), (660, 550), (770, 220), (770, 660))",0.3746987445976491,0.9505175344069201,0.1622445778284921,0.011334121557535225
"((440, 660), (440, 770), (550, 440), (550, 550), (550, 770), (660, 550), (770, 330), (770, 550))",0.3656797814206105,0.9417374260736022,0.016181010052681372,0.1391209081355477
"((440, 660), (440, 770), (550, 440), (550, 550), (550, 770), (660, 550), (770, 330), (770, 660))",0.36910966272750906,0.9550492032241163,0.04956933389951018,0.10271045105890068
"((440, 660), (440, 770), (550, 440), (550, 550), (550, 770), (660, 550), (770, 440), (770, 550))",0.43962266315026044,0.84843861010421,0.16111672523170467,0.30931265411486686
"((440, 660), (440, 770), (550, 440), (550, 550), (550, 770), (660, 550), (770, 440), (770, 660))",0.4505063867873307,0.9304362546189942,0.14272212086688857,0.27836078487610943
"((440, 660), (440, 770), (550, 440), (550, 550), (550, 770), (660, 550), (770, 550), (770, 660))",0.4390040498440253,0.8356554078123186,0.16978090792090164,0.3115758337988556
"((440, 660), (440, 770), (550, 440), (660, 110), (660, 550), (770, 220), (770, 330), (770, 440))",0.49468330879442,0.7877543199645539,0.40857097977024365,0.28772462664846243
"((440, 660), (440, 770), (550, 440), (660, 110), (660, 660), (770, 220), (770, 330), (770, 440))",0.5799855744649488,0.8035370518148802,0.5176942706999496,0.4187254008800165
"((440, 660), (440, 770), (550, 440), (660, 110), (660, 660), (770, 220), (770, 330), (770, 550))",0.6164328112080498,0.8842429058510168,0.5439779733414971,0.42107755443163536
"((440, 660), (440, 770), (550, 440), (660, 110), (660, 660), (770, 220), (770, 440), (770, 550))",0.6187958778369943,0.8925323908647226,0.5498914569249718,0.4139637857212886
"((440, 660), (440, 770), (550, 440), (660, 110), (660, 660), (770, 330), (770, 440), (770, 550))",0.59161376363816,0.8643665256915415,0.5196513042913792,0.39082346093155934
"((440, 660), (440, 770), (550, 440), (660, 220), (660, 550), (770, 220), (770, 330), (770, 440))",0.47951871663840534,0.7533632079135918,0.36137237512332654,0.3238205668782977
