subject_id,group_name,nb_learn_passes,nb_learn_blocks,type,nodepos_learnanim,trial_ind,relation_learnanim,learnpass_ind,nodes_clicked_learnanim,rt_learnanim,trial_name,nodepos_drawtest,relation_drawtest,nb_attempts_drawtest,acc_drawtest,attempts_drawtest,attemptout_drawtest,rt_drawtest
Q1gq5kxl69j044m8bx2fry24aQ,rotational,3.0,5.0,fourth,"[[696.5651595730047, 404.11294207798187], [745.8902530507788, 189.71369965066157], [383.51573019013654, 783.5863334548483], [408.1782769290235, 676.3867122411882], [350.30374919313743, 437.3249230749809], [193.77903450170322, 627.0616187634141], [86.57941328804311, 602.3990720245272], [111.24196002693013, 495.199450810867]]",1.0,"[2, 6]",1.767077123543997,"[1, 0, 4, 3, 2]",7.4537999999970195,draw_test,"[[396.7753976818777, 204.9140116039317], [180.9996860151091, 162.00897396614928], [785.4217833776326, 506.4997985462652], [677.5339275442482, 485.04727972737396], [440.30569705858835, 550.0300979229759], [634.6288899064658, 700.8229913941425], [613.1763710875746, 808.7108472275268], [505.28851525419026, 787.2583284086356]]","[2, 6]",1.0,1.0,[],12.0,4.41870000000298
Q1gq5kxl69j044m8bx2fry24aQ,rotational,3.0,5.0,fourth,"[[380.71888945581895, 691.0396808033171], [550.3917577654511, 831.0793814584606], [181.41285349169834, 241.2874111833977], [266.2492876465144, 311.3072615109695], [505.9420062837184, 366.5105280112971], [406.28898830165804, 141.63439320133742], [476.30883862922985, 56.7979590465213], [561.1452727840459, 126.8178093740931]]",1.0,"[2, 6]",2.67460096636831,"[1, 0, 4, 3, 2]",7.729199999988079,draw_test,"[[610.3529229613696, 257.1608439716014], [511.3084557135661, 60.716975379072494], [611.9979888644476, 749.0930484044627], [562.4757552405458, 650.8711141081983], [365.20935369647793, 503.94947913957105], [366.0318866480169, 749.9155813560018], [267.8099523517525, 799.4378149799035], [218.28771872785072, 701.215880683639]]","[2, 6]",1.0,1.0,[],12.0,4.3685
Q1gq5kxl69j044m8bx2fry24aQ,rotational,3.0,5.0,second,"[[205.7580589779173, 393.0274254946693], [74.49995130771771, 569.5814092244007], [644.8282580480479, 171.17756570540598], [579.1992042129482, 259.45455757027173], [536.2180884076142, 501.63759513510297], [755.7531879426797, 390.7126652404713], [844.0301798075454, 456.3417190755712], [778.4011259724456, 544.6187109404368]]",1.0,"[2, 6]",3.156547203701006,"[1, 0, 4, 7, 5, 3, 2]",9.67129999999702,draw_test,"[[681.469681315369, 353.4506000445291], [684.759559712687, 133.47519982866208], [454.9145243048664, 790.1115220789452], [456.5594635035253, 680.1238219710117], [349.86164179290967, 458.50348255648584], [236.5840632876583, 676.8339435736939], [126.59636317972479, 675.189004375035], [128.24130237838372, 565.2013042671015]]","[2, 6]",1.0,1.0,[],12.0,4.434400000005961
Q1gq5kxl69j044m8bx2fry24aQ,rotational,3.0,5.0,third,"[[577.6406413967827, 234.11144851146474], [448.61255563222534, 55.92123249516936], [657.5065969096022, 719.519966308613], [592.9925540273234, 630.4248583004653], [374.86936025461836, 516.7486851664486], [414.80233801102804, 759.4529440650227], [325.70723000288035, 823.9669869473014], [261.1931871206017, 734.8718789391537]]",1.0,"[2, 6]",3.170094596298816,"[1, 0, 4, 7, 5, 3, 2]",9.59570000000298,draw_test,"[[682.7563932281887, 356.5951745817979], [689.0259716838186, 136.68452821380436], [450.3065899489352, 790.146888862155], [453.4413791767502, 680.1915656781582], [349.7556344483834, 457.1461300823497], [233.53073280875665, 673.9219872225283], [123.57540962475989, 670.7871979947133], [126.71019885257488, 560.8318748107165]]","[2, 6]",1.0,1.0,[],12.0,4.951599999994039
Q1gq5kxl69j044m8bx2fry24aQ,rotational,3.0,5.0,fifth,"[[697.7602630097906, 488.92110061803754], [815.7274089158016, 303.22308639389485], [276.1279569736258, 742.3499831603119], [335.11152992663136, 649.5009760482405], [360.229668720571, 404.8193888710924], [149.41351570248867, 531.5338301422296], [56.564508590417276, 472.5502571892241], [115.54808154342278, 379.70125007715274]]",1.0,"[2, 6]",3.716738016532932,"[1, 0, 4, 3, 2]",8.1205,draw_test,"[[697.3917224697017, 491.1987336392047], [817.0622123977969, 306.5938208108359], [273.4458297851422, 740.738069367847], [333.2810747491899, 648.4356129536626], [360.64910826310074, 403.9954551612462], [148.67616192082107, 528.7651230255673], [56.373705506636654, 468.92987806151973], [116.2089504706843, 376.6274216473353]]","[2, 6]",1.0,1.0,[],12.0,4.127700000002981
Q1gq5kxl69j044m8bx2fry24aQ,rotational,3.0,5.0,first,"[[671.0316860766758, 331.4884235608105], [653.0032492859585, 112.2283600132435], [487.8284961105435, 788.0369874466619], [478.8142777151848, 678.4069556728783], [351.155809150684, 468.16111052067], [259.55421416761783, 696.4353924635957], [149.92418239383431, 705.4496108589543], [140.90996399847563, 595.8195790851709]]",1.0,"[2, 6]",4.493392772211751,[2],6.6005999999940395,draw_test,"[[597.579082021076, 652.7816918506612], [812.3246052660224, 604.9867104587391], [120.29305413926113, 533.626131389559], [227.66581576173434, 509.7286406935979], [418.5138483107197, 354.56089767920264], [179.87083436981226, 294.9831174486515], [155.97334367385122, 187.61035582617828], [263.3461052963244, 163.71286513021724]]","[2, 6]",1.0,1.0,[],12.0,5.43620000000298
Q1gq5kxl69j044m8bx2fry24aQ,rotational,3.0,5.0,fifth,"[[635.2311177908209, 280.9158996180805], [563.9978763293414, 72.7673341392607], [569.5490352349602, 768.4462720371998], [533.9324145042204, 664.3719892977898], [358.624890303331, 491.8400445497098], [325.7838490254006, 735.6052307592694], [221.70956628599072, 771.2218514900092], [186.09294555525094, 667.1475687505992]]",1.0,"[2, 6]",4.83150541710926,"[1, 0, 4, 3, 2]",7.28590000000596,draw_test,"[[521.9593633339549, 690.2537201139077], [740.4004480892925, 716.397409427228], [111.22088313660004, 419.5252567319294], [220.44142551426887, 432.5971013885895], [451.9543549262666, 349.52024832424104], [246.58511482758922, 214.15601663325194], [259.6569594842494, 104.93547425558316], [368.8775018619182, 118.00731891224333]]","[2, 6]",1.0,1.0,[],12.0,4.036900000005961
Q1gq5kxl69j044m8bx2fry24aQ,rotational,3.0,5.0,second,"[[497.96221180325136, 696.1699133503931], [712.7693067985044, 743.6874042321758], [115.86551269452775, 386.3278365915747], [223.26906019215434, 410.086582032466], [461.8349006282988, 350.2005254166221], [270.78655107393706, 195.27948703721285], [294.54529651482835, 87.87593953958631], [401.9488440124549, 111.63468498047766]]",1.0,"[2, 6]",4.8409170514579305,"[1, 0, 4, 3, 2]",7.403100000008941,draw_test,"[[519.6950295356146, 690.9203247092901], [737.8803885192967, 719.1187134072596], [111.52270026622, 416.3381883296691], [220.61537975806104, 430.4373826786538], [452.8999330907278, 349.54309188478226], [248.81376845603054, 212.2520236949717], [262.91296280501524, 103.15934420313067], [372.0056422968563, 117.25853855211543]]","[2, 6]",1.0,1.0,[],12.0,3.6436000000089406
Q1gq5kxl69j044m8bx2fry24aQ,rotational,3.0,5.0,third,"[[661.3824232204615, 315.02788749728444], [626.7373424289312, 97.77292581182985], [513.4176231180675, 784.182891659724], [496.0950827223023, 675.5554108169966], [352.82252108804477, 475.62298952730714], [278.84012103684773, 710.2004916085269], [170.21264019412044, 727.5230320042921], [152.89009979835532, 618.8955511615648]]",1.0,"[2, 6]",5.380231470837233,"[1, 0, 4, 3, 2]",7.99420000000298,draw_test,"[[386.07847110078285, 692.5160574955534], [558.8135883264143, 828.7606143668182], [176.85279352078476, 247.29182652739203], [263.2203521336005, 315.4141049630245], [504.0777477948644, 365.2911032214737], [399.4649090048654, 142.67898773739296], [467.5871874404978, 56.31142912457722], [553.9547460533136, 124.43370756020967]]","[2, 6]",1.0,1.0,[],12.0,3.911800000011921
Q1gq5kxl69j044m8bx2fry24aQ,rotational,3.0,5.0,first,"[[441.2786318047418, 700.6470381568525], [639.8616211599256, 795.3296465850055], [138.79526152252714, 312.6988319453628], [238.08675620011905, 360.0401361594393], [484.0110497693793, 355.4312499100004], [332.76936462827206, 161.4571468042555], [380.1106688423485, 62.1656521266636], [479.4021635199404, 109.50695634074009]]",1.0,"[2, 6]",5.787431549055745,"[1, 0, 4, 3, 2]",8.42839999999106,draw_test,"[[295.2590877696713, 647.3708440528279], [399.91194373160863, 840.8851322565934], [279.467664049562, 155.68941168335965], [331.7940920305307, 252.44655578524237], [533.2040920943508, 393.6344160080391], [525.3083802342961, 147.79369982330502], [622.0655243361789, 95.46727184233634], [674.3919523171476, 192.22441594421906]]","[2, 6]",1.0,1.0,[],12.0,4.40259999999404
Q1gq5kxl69j044m8bx2fry24aQ,rotational,3.0,5.0,second,"[[379.37794730011177, 690.6502143619535], [548.2684987677956, 831.6324175825787], [182.57904758536938, 239.79525645301945], [267.02432331921125, 310.28635806333205], [506.4059763972076, 366.8232855501153], [408.0065265398365, 141.39580659564825], [478.4976281501491, 56.95053086180636], [562.942903883991, 127.44163247211895]]",2.0,"[7, 6]",0.07011398310762801,"[1, 0, 4, 3, 2, 7]",6.90340000000596,draw_test,"[[213.55944997729588, 533.6412954524327], [198.1470087911847, 753.1007601758405], [463.843797072926, 110.13480719172838], [456.1375764798704, 219.86453955343228], [550.4548676554631, 447.0302248698957], [675.5970412032782, 235.27698073954343], [785.3267735649821, 242.98320133259904], [777.6205529719265, 352.71293369430293]]","[7, 6]",1.0,1.0,[],12.0,3.41870000000298
Q1gq5kxl69j044m8bx2fry24aQ,rotational,3.0,5.0,fourth,"[[264.847398749412, 280.82992507496857], [63.99902007342587, 370.60703119466757], [756.3212622210831, 302.1240915115568], [655.8970728830901, 347.0126445714063], [499.9372472669535, 537.2139400290982], [745.6741790027891, 547.8610232473924], [790.5627320626385, 648.2852125853855], [690.1385427246454, 693.1737656452349]]",2.0,"[7, 6]",0.212238661361968,"[1, 0, 4, 7]",5.77820000000298,draw_test,"[[204.09590198713352, 499.3069425180526], [157.75315373801428, 714.3705370307426], [511.844992998062, 115.52250174179181], [488.6736188735024, 223.0542989981368], [549.8626678807282, 461.28926763538647], [703.7372133861924, 269.39704724725607], [811.2690106425374, 292.56842137181565], [788.0976365179778, 400.10021862816063]]","[7, 6]",1.0,1.0,[],12.0,3.5700999999940395
