subject_id,group_name,nb_learn_passes,nb_learn_blocks,type,nodepos_learnanim,trial_ind,relation_learnanim,learnpass_ind,trial_name,nodepos_drawtest,relation_drawtest,nb_attempts_drawtest,acc_drawtest,attempts_drawtest,attemptout_drawtest
Q21w28fj9d43m29bpw0c582isQ,rotational,3.0,5.0,second,"[[668.6915891223839, 327.22382622378865], [646.4140146806693, 108.35466513206734], [494.3775769140918, 787.239722848946], [483.2387896932345, 677.8051423030853], [351.52663470565915, 470.0747684322213], [264.3696286015131, 700.0827167447999], [154.9350480556525, 711.2215039656572], [143.79626083479516, 601.7869234197966]]",1.0,"[6, 7]",4.7540901735251655,draw_test,"[[540.3245683144155, 683.9689559723992], [760.133307187556, 693.1405597034542], [109.87869429918936, 445.81700963714866], [219.78306373575964, 450.4028115026762], [444.1776044744277, 349.67004579716087], [228.95466746681467, 230.5940726295356], [233.54046933234218, 120.68970319296531], [343.44483876891246, 125.27550505849281]]","[6, 7]",0.0,1.0,[],12.0
Q21w28fj9d43m29bpw0c582isQ,rotational,3.0,5.0,first,"[[298.54307648517164, 649.9019767771781], [406.38071889533035, 841.6597481436047], [274.62556303128076, 158.54879163416615], [328.54438423636014, 254.42767731737942], [532.2609123297322, 392.26662747872666], [520.3021556027867, 146.59003490722066], [616.181041286, 92.67121370214133], [670.0998624910794, 188.55009938535466]]",1.0,"[6, 7]",5.678156699339621,draw_test,"[[317.70682056794203, 663.069272012079], [442.8396538955402, 844.016153785177], [248.38803568584385, 176.04267513828466], [310.9544523496429, 266.51611602483376], [526.5607265637901, 384.89658113413276], [491.901334122741, 141.38328269723556], [582.37477500929, 78.81686603343647], [644.9411916730891, 169.2903069199855]]","[6, 7]",0.0,1.0,[],12.0
Q21w28fj9d43m29bpw0c582isQ,rotational,3.0,5.0,second,"[[469.6738299936104, 199.9741205127307], [275.42128242292046, 96.69804505332513], [754.9028496755848, 600.7788190022318], [657.7765758902398, 549.140781272529], [411.88599058984704, 542.9909795984685], [554.5005004308341, 743.393328843219], [502.86246270113134, 840.519602628564], [405.7361889157864, 788.8815648988613]]",2.0,"[4, 1]",1.664363984450796,draw_test,"[[371.9265993063319, 211.6629611157218], [152.88893662262484, 191.10809974283603], [789.4470633008602, 471.81034654520045], [679.9282319590068, 461.5329158587576], [450.6131385888568, 550.4968858277252], [659.373370586121, 680.5705785424645], [649.0959398996781, 790.0894098843181], [539.5771085578245, 779.8119791978753]]","[4, 1]",0.0,1.0,[],12.0
Q21w28fj9d43m29bpw0c582isQ,rotational,3.0,5.0,second,"[[589.8180841179918, 658.2087974932235], [806.214952222172, 618.555355338701], [117.37090575510899, 521.1188136980885], [225.56933980719907, 501.29209262082725], [422.1394868341179, 353.4402164142146], [185.9158976526765, 284.8952245166471], [166.08917657541525, 176.696790464557], [274.2876106275053, 156.87006938729573]]",2.0,"[4, 1]",3.33961630070608,draw_test,"[[695.1783786391918, 397.2026265060737], [738.4594157023006, 181.5020195742855], [392.9156975811858, 785.3228033065413], [414.55621611274023, 677.4724998406472], [349.98694970995496, 440.13137437730455], [198.85560918095197, 634.1914627775383], [91.00530571505786, 612.5509442459838], [112.6458242466123, 504.7006407800897]]","[4, 1]",0.0,1.0,[],12.0
Q21w28fj9d43m29bpw0c582isQ,rotational,3.0,5.0,first,"[[306.8197521554464, 244.08881373958286], [91.0952453612129, 287.2505695934022], [781.4305215977326, 373.48980882617775], [673.568268200616, 395.0706867530874], [479.4246393332921, 546.0946960040234], [716.7300240544353, 610.7951935473209], [738.310901981345, 718.6574469444375], [630.4486485842283, 740.2383248713472]]",2.0,"[4, 1]",3.992355594083169,draw_test,"[[676.8426189024918, 556.9692771288039], [842.2350360499053, 411.899127373122], [200.98763485198302, 681.7171594927546], [283.6838434256897, 609.1820846149136], [376.54118569526213, 381.4157262855249], [138.61369367000773, 443.78966746750024], [66.07861879216674, 361.0934588937935], [148.77482736587342, 288.5583840159525]]","[4, 1]",0.0,1.0,[],12.0
Q21w28fj9d43m29bpw0c582isQ,rotational,3.0,5.0,second,"[[239.49749407268487, 586.3403645232058], [275.55102848402487, 803.3660373281768], [384.41609805497586, 116.23548450192396], [402.4428652606459, 224.74832090440944], [547.0092360744713, 423.7472265037104], [619.4685380656168, 188.69478649306942], [727.9813744681023, 170.66801928739946], [746.0081416737723, 279.18085568988494]]",2.0,"[4, 1]",4.7788209642180774,draw_test,"[[534.511300452097, 686.130980804924], [754.0260260272207, 700.735269752972], [110.08613824989737, 437.4076773337041], [219.8435010374593, 444.70982180772813], [446.6603710866071, 349.55674796821427], [234.4477899855073, 225.1950962326043], [241.74993445953135, 115.4377334450424], [351.5072972470932, 122.73987791906643]]","[4, 1]",0.0,1.0,[],12.0
Q21w28fj9d43m29bpw0c582isQ,rotational,3.0,5.0,first,"[[216.96200544109155, 357.2999833227516], [60.881612370109735, 512.3448506960633], [684.1676589563668, 203.29064164711005], [606.127462420876, 280.81307533376594], [527.5695030365499, 513.8981392425684], [761.1723297941876, 436.89346840474775], [838.6947634808434, 514.9336649402387], [760.6545669453526, 592.4560986268946]]",2.0,"[4, 1]",5.95385035404612,draw_test,"[[264.7021226650664, 619.0109364957425], [335.8531574077696, 827.1876168781587], [330.57673356207613, 131.50654098820706], [366.15225093342775, 235.5948811794151], [541.391625867339, 408.19604419047965], [574.3289313158439, 164.4438464367119], [678.417271507052, 128.86832906536029], [713.9927888784035, 232.95666925656838]]","[4, 1]",0.0,1.0,[],12.0
Q21w28fj9d43m29bpw0c582isQ,rotational,3.0,5.0,first,"[[322.54979909042584, 666.0010330718565], [451.7349795900332, 844.0773906808436], [242.2557957001983, 180.6631373542748], [306.848385950002, 269.70131615876835], [525.0717452541029, 383.1850835179518], [484.9247435589891, 140.51613565916094], [573.9629223634827, 75.92354540935727], [638.5555126132864, 164.96172421385086]]",2.0,"[4, 1]",6.224660335082534,draw_test,"[[226.24293921752752, 563.2818509293917], [239.11108420660267, 782.9051894991806], [420.1299878091662, 111.1670288007387], [426.5640603037038, 220.97869808563317], [549.2438745776734, 434.16796416088454], [646.1873988734926, 208.11055309655805], [755.9990681583871, 201.67648060202046], [762.4331406529247, 311.4881498869149]]","[4, 1]",1.0,0.0,"[[4, 3]]",12.0
Q21w28fj9d43m29bpw0c582isQ,rotational,3.0,5.0,first,"[[427.89009996201094, 200.1777585555879], [219.18702813493604, 130.58589258015357], [775.7043776407264, 548.0645623335315], [671.3528417271889, 513.2686293458142], [427.8538369123969, 548.0282992839175], [601.7609757517546, 721.9717011728892], [566.9650427640374, 826.3232370864266], [462.6135068505, 791.5273040987095]]",3.0,"[1, 7]",0.9563221221911671,draw_test,"[[235.6906634163469, 319.7252585760598], [55.933790270214274, 446.5616356794964], [722.0407868120487, 245.8093775153192], [632.1623502389824, 309.2275660670375], [515.8236656445681, 525.9423797435404], [758.9987273424191, 488.98443921317016], [822.4169158941374, 578.8628757862364], [732.5384793210711, 642.2810643379547]]","[1, 7]",0.0,1.0,[],12.0
Q21w28fj9d43m29bpw0c582isQ,rotational,3.0,5.0,second,"[[628.5001676542703, 626.175168929669], [832.6570394545118, 544.199735434385], [138.21099055850317, 585.9691641199952], [240.28942645862395, 544.9814473723533], [403.4585815112236, 360.92757797694856], [158.31399296334007, 340.82457557211166], [117.3262762156981, 238.74613967199082], [219.4047121158189, 197.75842292434888]]",3.0,"[1, 7]",2.290208145890526,draw_test,"[[526.3373991832116, 211.10127357823148], [360.8548431432937, 66.13395434215178], [712.3351920269675, 666.5184680903087], [629.5939140070086, 594.0348084722689], [391.62769834905095, 531.808767256148], [484.62659477092893, 759.5173645121868], [412.1429351528891, 842.2586425321456], [329.40165713293015, 769.7749829141057]]","[1, 7]",0.0,1.0,[],12.0
